        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 Section             | Raw                   |   N/A    | 0000062C | EB4ECD91 | --------- Raw section
 File                | Freeform              |   N/A    | 000001D3 | CE6F8E18 | ------- 427B3AEF-0308-4908-9639-B555F797BF57
 Section             | GUID defined          |   N/A    | 000001BB | C93AD6CA | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000191 | FED1AF51 | --------- Raw section
 File                | Freeform              |   N/A    | 00000697 | 89EF074B | ------- 22BB387D-CED8-4849-9125-1C41E1F9BBAD
 Section             | GUID defined          |   N/A    | 0000067F | F68CE186 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 0000064E | 7673409F | --------- Raw section
 File                | Freeform              |   N/A    | 00000374 | CE267DF0 | ------- 8AE6AF52-B111-4841-9E44-00CBC28F2E23
 Section             | GUID defined          |   N/A    | 0000035C | CDC7F984 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 0000032E | 0A50C242 | --------- Raw section
 File                | Freeform              |   N/A    | 00035212 | 8C98517B | ------- F7625B66-935F-49C8-9A91-0D655CA90D9F
 Section             | GUID defined          |   N/A    | 000351FA | 3C08AD2A | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 0004524E | 5B0C214C | --------- Raw section
 File                | Freeform              |   N/A    | 0000EADC | B9B4531A | ------- 3E1850AF-DEE6-49F1-A857-9B8EC19D248D
 Section             | GUID defined          |   N/A    | 0000EAC4 | B74008D2 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00010512 | A1F1DA27 | --------- Raw section
 File                | Freeform              |   N/A    | 000003F7 | 934BE477 | ------- F8AABB7D-4F76-4425-8759-8D6274EC7A73
 Section             | GUID defined          |   N/A    | 000003DF | 47D54E0F | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
